Rank,University,Country,Score,Enrollment
251,Royal Institute of Technology,Sweden,N/A,N/A
253,Charles University Prague,Czech Republic|prague,N/A,N/A
259,University of Bergen,Norway,N/A,N/A
260,Universite Libre de Bruxelles,Belgium,N/A,N/A
261,University of Sharjah,N/a,N/A,N/A
262,North Carolina State University,united states,N/A,N/A
264,Hebrew University of Jerusalem,united states,N/A,N/A
267,Norwegian University of Science & Technology (NTNU),Norway,N/A,N/A
269,Pompeu Fabra University,Spain,N/A,N/A
271,Cairo University,Egypt|giza,N/A,N/A
275,Sungkyunkwan University (SKKU),South Korea,N/A,N/A
277,Autonomous University of Madrid,Spain,N/A,N/A
278,Aalborg University,Denmark,N/A,N/A
281,Universite de Bordeaux,France,N/A,N/A
284,La Trobe University,Australia,N/A,N/A
285,China Medical University Taiwan,Taiwan,N/A,N/A
289,COMSATS University Islamabad (CUI),Pakistan|islamabad,N/A,N/A
292,Dalian University of Technology,China,N/A,N/A
296,Aalto University,Finland,N/A,N/A
300,Korea University,South Korea,N/A,N/A
304,University of Southern Queensland,Australia,N/A,N/A
305,Florida State University,united states,N/A,N/A
306,University of Duisburg Essen,Germany,N/A,N/A
309,Durham University,United Kingdom,N/A,N/A
310,Georgetown University,united states,N/A,N/A
311,Colorado State University,united states,N/A,N/A
315,Osaka University,Japan,N/A,N/A
317,Polytechnic University of Milan,Italy,N/A,N/A
320,Dartmouth College,united states,N/A,N/A
322,Universite de Strasbourg,France,N/A,N/A
323,Complutense University of Madrid,Spain,N/A,N/A
327,Al Azhar University,Egypt|cairo,N/A,N/A
